id,title,url,created_at,updated_at,user_id,image_url,description,category_id
6,Frequency New,http://feeds.5by5.tv/frequency,2013-01-07 17:13:08 UTC,2014-08-11 05:01:47 UTC,1,http://icebox.5by5.tv/images/broadcasts/41/cover.jpg,"The Frequency is a weekly news and talk show focused on bringing you the top stories from the real world, the tech world, and sometimes the weird world. Hosted by Haddie Cooke & Dan Benjamin.",
7,Freq json,http://feeds.5by5.tv/frequency,2013-01-08 18:32:43 UTC,2014-08-11 05:01:49 UTC,1,http://icebox.5by5.tv/images/broadcasts/41/cover.jpg,"The Frequency is a weekly news and talk show focused on bringing you the top stories from the real world, the tech world, and sometimes the weird world. Hosted by Haddie Cooke & Dan Benjamin.",
8,Freq,http://feeds.5by5.tv/frequency,2013-01-11 09:26:58 UTC,2014-08-11 05:01:51 UTC,1,http://icebox.5by5.tv/images/broadcasts/41/cover.jpg,"The Frequency is a weekly news and talk show focused on bringing you the top stories from the real world, the tech world, and sometimes the weird world. Hosted by Haddie Cooke & Dan Benjamin.",
9,The Web Ahead,http://feeds.5by5.tv/webahead,2013-01-16 18:10:46 UTC,2014-08-11 05:01:51 UTC,1,http://icebox.5by5.tv/images/broadcasts/26/cover.jpg,"A weekly podcast about changing technologies and the future of the web, discussing HTML5, mobile, responsive design, iOS, Android, and more. Hosted by Jen Simmons.",
10,Critical Path,http://feeds.5by5.tv/criticalpath,2013-01-16 18:11:47 UTC,2014-08-11 05:01:52 UTC,1,http://icebox.5by5.tv/images/broadcasts/24/cover.jpg,"The Critical Path is a talk show contemplating the causality of success and failure in the evolving story of mobile computing and related industries. Using Apple as a lens to look at existing and emerging tech markets, we try to understand what it means to be great. Hosted by Horace Dediu & Moisés Chiullan.",
11,The East Wing,http://feeds.feedburner.com/eastwingpodcast,2013-01-16 18:12:28 UTC,2014-08-11 05:01:53 UTC,1,http://icebox.5by5.tv/images/broadcasts/61/cover.jpg,The East Wing is a weekly talk show featuring the best of the internet. Hosted by Tim Smith.,
12,Non Breaking Space,http://feeds.feedburner.com/nbsp-new?format=xml,2013-01-16 18:13:53 UTC,2014-08-11 05:01:55 UTC,1,http://goodstufffm.s3.amazonaws.com/uploads/broadcast/image/19/nbsp_artwork.png,"A show to seek out the best, brightest and smartest people on the web and talk to them about how and why they do what they do. Hosted by Christopher Schmitt, Sam Kapila and Chris Enns.",
13,This Developer's Life,http://feeds.feedburner.com/thisdeveloperslife,2013-01-16 18:14:40 UTC,2014-08-11 05:01:55 UTC,1,http://media.wekeroad.com/tdl2.png,Stories About Developers and Their Lives,
14,Shoptalk Show,http://shoptalkshow.com/feed/podcast/,2013-01-16 18:15:05 UTC,2014-08-11 05:02:10 UTC,1,http://shoptalkshow.com/wp-content/uploads/2012/08/shoptalk_album-copy_sm.jpeg,"ShopTalk is a podcast about front end web design, development and UX. Each week Chris Coyier and Dave Rupert are joined by a special guest to talk shop and answer listener submitted questions.",
15,The Industry,http://theindustry.cc/feed/,2013-01-16 18:15:46 UTC,2014-08-11 05:02:12 UTC,1,,Covering Design Focused Startups and People,
16,Thoughtbot Podcast,http://learn.thoughtbot.com/podcast.xml,2013-01-16 18:17:20 UTC,2014-08-11 05:02:16 UTC,1,http://gr-podcast.s3.amazonaws.com/giantrobots-1400.jpg,"A weekly technical podcast discussing development, design, and the business of software development.",
17,The Ruby Show,http://feeds.feedburner.com/rubyshow,2013-01-16 23:59:29 UTC,2014-08-11 05:02:16 UTC,1,http://rubyshow.com/images/cover_art_300.png,"The The Ruby Show is the best Ruby-related podcast of all time, featuring news and discussion about the latest topics in the Ruby and Rails communities. Hosted by Peter Cooper and Jason Seifer.",
18,Ruby Rogues,http://rubyrogues.com/feed/,2013-01-17 00:00:31 UTC,2014-08-11 05:02:36 UTC,1,http://rubyrogues.com/wp-content/uploads/2011/09/iTunesLogo.png,Rubyist.where(:rogue => true).limit(6).all.talk(:about => Topics.where(:awesome => true)),
19,The Javascript Show,http://feeds.feedburner.com/the-javascript-show,2013-01-17 00:00:47 UTC,2014-08-11 05:02:36 UTC,1,http://javascriptshow.com/images/coverart-600.png,The Javascript Show is a javascript development podcast featuring news and discussion about the latest topics in the Javascript community. Hosted by Peter Cooper and Jason Seifer.,
20,Javascript Jabber,http://feeds.feedburner.com/JavascriptJabber,2013-01-17 00:01:08 UTC,2013-02-11 23:44:16 UTC,1,,,
21,Happy Monday,https://www.buzzsprout.com/8190.rss,2013-01-17 02:16:12 UTC,2013-02-11 23:44:16 UTC,1,,,
22,Unfinished Business,http://feeds.feedburner.com/buzzsprout/uJEz,2013-01-17 02:16:42 UTC,2014-08-11 05:02:39 UTC,1,http://www.buzzsprout.com/podcasts/8778/artworks_large.jpg?1407684265,"A weekly discussion show about the business end, the sharp end of web, design and creative industries. Hosted by Andrew Clarke and guests",
23,Breaking Development Podcast,http://feeds.feedburner.com/bdconf-podcast,2013-01-17 02:17:28 UTC,2014-08-11 05:02:39 UTC,1,http://fsm.bdconf.com/images/podcast_logo.jpg,"An interview podcast exploring the web design and development for beyond the desktop. We'll discuss mobile, responsive design, content strategy, user experience and how to prepare for the upcoming zombie device apocalypse.",
24,Brainsparks,http://www.uie.com/brainsparks/feed/,2013-01-17 02:18:48 UTC,2014-08-11 05:02:44 UTC,1,http://www.uie.com/BSAL/Artwork/bsalart144x.jpg,UIE\'s latest insights on the world of design,
25,The Big Web Show,http://feeds.5by5.tv/bigwebshow,2013-01-17 02:19:25 UTC,2014-08-11 05:02:45 UTC,1,http://icebox.5by5.tv/images/broadcasts/7/cover.jpg,"The award winning Big Web Show features special guests and topics like web publishing, art direction, content strategy, typography, web technology, and more. It's everything web that matters. Hosted by Jeffrey Zeldman.",
26,In Beta,http://feeds.5by5.tv/inbeta,2013-01-17 02:23:00 UTC,2014-08-11 05:02:45 UTC,1,http://icebox.5by5.tv/images/broadcasts/37/cover.jpg,"In Beta is a talk show about tech culture, making open source software, and how mobile, social, and web apps are changing the world. Hosted by Christie Koehler & Kevin Purdy.",
27,The Crossover,http://feeds.5by5.tv/crossover,2013-01-19 18:07:16 UTC,2014-08-11 05:02:46 UTC,1,http://icebox.5by5.tv/images/broadcasts/47/cover.jpg,"A weekly discussion featuring hosts from 5by5's many shows with no limit on topic or fixed agenda; a freeform flow of ideas leading to a great conversation, from culture to tech and beyond. Hosted by Dan Benjamin.",
28,Systematic,http://feeds.5by5.tv/systematic,2013-01-24 00:11:26 UTC,2014-08-11 05:02:47 UTC,1,http://icebox.5by5.tv/images/broadcasts/39/cover.jpg,"A weekly discussion about creativity, productivity, work, and everything Mac and iOS. Hosted by Brett Terpstra.",
29,The Talk Show,http://feeds.feedburner.com/the_talk_show,2013-01-24 00:18:24 UTC,2014-08-11 05:02:49 UTC,1,http://daringfireball.net/thetalkshow/graphics/cover-1400.jpg,The director's commentary track for Daring Fireball.,
30,Ruby 5,http://feeds.feedburner.com/Ruby5,2013-01-24 00:19:01 UTC,2014-08-11 05:02:49 UTC,1,http://ruby5.envylabs.com/images/ruby5-itunes-logo.png?1390407218,The latest news in the Ruby and Rails community,
31,70 - Enough ,http://feeds.feedburner.com/enough-theminimalmacpodcast,2013-01-24 00:20:22 UTC,2014-08-11 05:02:49 UTC,1,http://assets.libsyn.com/content/4169565.jpg,At what point does technology cross the line from not quite to too much? How does one find the balance that is “enough”? Enough helps to explore these ideas and help you find that answer that is right for you.,
32,70 - CMD Space,http://feeds.feedburner.com/cmdspace,2013-01-24 00:21:17 UTC,2014-08-11 05:02:50 UTC,1,http://icebox.5by5.tv/images/broadcasts/49/cover.jpg,CMD+SPACE is an interview show that puts a spotlight on the people behind awesome projects. Each week Myke Hurley looks to discover what inspires his guests to do great things. Hosted by Myke Hurley.,
33,70 - Bionic,http://feeds.feedburner.com/bionicshow,2013-01-24 00:21:36 UTC,2014-08-11 05:02:51 UTC,1,http://icebox.5by5.tv/images/broadcasts/50/cover.jpg,"Once, Bionic was a show dedicated to the analysis of competing technological and media ecosystems. Today, with what began as subtle references to selfies, sexy cruises, and tearaway trousers, Bionic has grown into a weekly examination of absurdity, intrigue, British culture, and, from time-to-time, technology. Hosted by Matt Alexander & Myke Hurley.",
34,The Frequency,http://feeds.5by5.tv/frequency,2013-02-07 19:29:44 UTC,2014-08-11 05:02:53 UTC,1,http://icebox.5by5.tv/images/broadcasts/41/cover.jpg,"The Frequency is a weekly news and talk show focused on bringing you the top stories from the real world, the tech world, and sometimes the weird world. Hosted by Haddie Cooke & Dan Benjamin.",
35,The Crossover @ 5by5,http://feeds.5by5.tv/b2w,2013-02-11 23:13:19 UTC,2014-08-11 05:02:54 UTC,1,http://icebox.5by5.tv/images/broadcasts/19/cover.jpg,"Back to Work is an award winning talk show with Merlin Mann and Dan Benjamin discussing productivity, communication, work, barriers, constraints, tools, and more. Hosted by Merlin Mann & Dan Benjamin.",
